Nombre,Autor,Editorial,ISBN,Precio,Fecha de lanzamiento,Formato,Páginas,Disponibilidad
SHANG-CHI 03: SANGRE Y MONSTRUOS,"Dike Ruan
,
 Gene Luen Yang
,
 Marcus To",Panini Comics,9788411018036,"16,15 €",25/08/2022,Tapa blanda,144,En stock
GATA NEGRA 05: EL GOLPE DEL INFINITO,"Jed Mackay
,
 C.F. Villa",Panini Comics,9788411017329,"12,35 €",18/08/2022,Tapa blanda,104,En stock
MS. MARVEL: MÁS ALLÁ DEL LÍMITE,"Andrés Genolet
,
 Samira Ahmed",Panini Comics,9788411018043,"13,30 €",18/08/2022,Tapa blanda,120,En stock
CONAN EL BÁRBARO 06: LA ETAPA MARVEL ORIGINAL (Marvel Omnibus),"Gary Kwapisz
,
 John Buscema
,
 Michael Fleisher
,
 Val Mayerik",Panini Comics,9788411015899,"47,45 €",18/08/2022,Tapa dura,672,En stock
SPIDERMAN: TODA UNA VIDA (Edición de Lujo),"Chip Zdarsky
,
 Mark Bagley",Panini Comics,9788411016490,"24,70 €",18/08/2022,Tapa dura,240,En stock
BIBLIOTECA ALPHA FLIGHT 03,"John Byrne
,
 Varios autores",Panini Comics,9788411017220,"19,95 €",11/08/2022,Tapa dura,184,Agotado
VENENO: EL JUICIO / LICENCIA PARA MATAR / SEMILLA DE OSCURIDAD,"Derec Aucoin
,
 James Fry
,
 Josh Hood
,
 Larry Hama
,
 Len Kaminski",Panini Comics,9788411017282,"21,85 €",11/08/2022,Tapa dura,176,En stock
"ELEKTRA: BLANCO, NEGRO Y SANGRE","Al Ewing
,
 Charles Soule
,
 Declan Shalvey
,
 Greg Land
,
 Greg Smallwood
,
 Leonardo Romero
,
 Mark Bagley
,
 Peter David
,
 Rod Reis",Panini Comics,9788411017343,"18,95 €",11/08/2022,Tapa blanda,136,En stock
WORLD WAR HULK (Marvel Must-Have),"Greg Pak
,
 John Romita Jr.",Panini Comics,9788411014557,"17,10 €",11/08/2022,Tapa dura,264,En stock
CAPA Y PUÑAL: HOMBRES Y BESTIAS,"Bill Mantlo
,
 Chris Warner
,
 Dave Ross
,
 Peter B.Gillis
,
 Rick Leonardi
,
 Sal Velluto
,
 Steve Gerber
,
 Terry Austin
,
 Terry Kavanagh",Panini Comics,9788411018012,"31,35 €",11/08/2022,Tapa dura,304,En stock
CABALLERO LUNA 03: DIOS Y PATRIA (Marvel Saga),"Charlie Huston
,
 Duane Swierczynski
,
 Javier Saltares
,
 Jefte Palo
,
 Mark Texeira
,
 Mike Benson",Panini Comics,9788411017985,"19,95 €",11/08/2022,Tapa dura,192,En stock
DAREDEVIL 04: EL FIN DEL INFIERNO (Marvel Premiere),"Chip Zdarsky
,
 Jorge Fornés
,
 Marco Checchetto",Panini Comics,9788411018128,"9,50 €",11/08/2022,Tapa blanda,112,En stock
YO SOY THOR,Varios autores,Panini Comics,9788411016650,"36,10 €",04/08/2022,Tapa dura,352,En stock
MARVEL HÉROES 71: CABALLERO LUNA 02. ECLIPSE,"Bill Sienkiewicz
,
 Doug Moench
,
 Kevin Nowlan
,
 Vicente Alcazar",Panini Comics,9788411019323,"55,10 €",04/08/2022,Tapa dura,720,Agotado
REINO DE REYES: GUARDIA IMPERIAL (ANIQUILACIÓN SAGA 24),"Andy Lanning
,
 Dan Abnett
,
 Kev Walker
,
 Leonardo Manco
,
 Mahmud Asrar",Panini Comics,9788411017954,"19,00 €",04/08/2022,Tapa dura,160,Agotado
YO SOY HULK,Varios autores,Panini Comics,9788411015820,"36,10 €",04/08/2022,Tapa dura,352,En stock
LOS VENGADORES 03: LOS MUNDOS CHOCAN (Marvel Now! Deluxe),"Humberto Ramos
,
 Jeremy Whitley
,
 Jesús Saiz
,
 Mark Waid
,
 Mike Del Mundo",Panini Comics,9788411017367,"28,50 €",28/07/2022,Tapa dura,272,En stock
BIBLIOTECA ALPHA FLIGHT 02,"John Byrne
,
 Varios autores",Panini Comics,9788411016476,"15,20 €",28/07/2022,Tapa dura,184,Agotado
MOTORISTA FANTASMA: ¡CARRERA MORTAL! (MARVEL LIMITED EDITION),Varios autores,Panini Comics,9788418814167,"39,85 €",28/07/2022,Tapa dura,312,En stock
DAREDEVIL DE MARK WAID 04: UN TRABAJO DESDE DENTRO (Marvel Saga),"Chris Samnee
,
 Mark Waid
,
 Mike Allred",Panini Comics,9788411017275,"16,63 €",28/07/2022,Tapa dura,144,Agotado
HÉROES DE LOS BALDÍOS,"Brent Peeples
,
 Ethan Sacks
,
 Ibrahim Moustafa
,
 Rich Douek
,
 Steven S. DeKnight
,
 Torunn Gronbekk
,
 Well-Bee",Panini Comics,9788411017619,"13,30 €",28/07/2022,Tapa blanda,112,En stock
KA-ZAR: SEÑOR DE LA TIERRA SALVAJE,"Germán García
,
 Zac Thompson",Panini Comics,9788411017305,"13,30 €",28/07/2022,Tapa blanda,112,En stock
